feature,mean_abs_shap
cat__VKORC1_A/A,3.6912047159308488
cat__CYP2C9_*1/*1,3.613246513314504
cat__VKORC1_G/G,3.539295852314305
num__Age_Num,2.97485431506386
num__Weight (kg),2.970874565880921
cat__CYP2C9_*1/*2,0.947824723523278
num__Amiodarone,0.9013461843624994
num__Height (cm),0.8981404115578784
num__Enzyme_Inducer,0.5916907575795299
cat__VKORC1_Unknown,0.46390505924961434
cat__Race_Group_Other,0.4563353448522913
cat__VKORC1_A/G,0.27389021741764147
cat__CYP2C9_*2/*3,0.24217744077564082
cat__CYP2C9_Other/Unknown,0.2173248456043231
cat__Race_Group_Black,0.10020450942040511
cat__Race_Group_Unknown,0.072788490437474
cat__CYP2C9_*1/*3,0.01777222102164984
cat__Race_Group_White,0.00569855847772707
cat__CYP2C9_*2/*2,0.002483650603475951
cat__Race_Group_Asian,0.0014827466920841166
cat__CYP2C9_*3/*3,0.0
